10:49:19.066 [ApplicationImpl pooled thread 6] INFO  c.b.s.l.BrowserStackRunExtension - maven
10:49:19.068 [ApplicationImpl pooled thread 6] INFO  com.browserstack.sdk.utils.Helpers - null
11:16:09.138 [ApplicationImpl pooled thread 18] INFO  c.b.s.l.BrowserStackRunExtension - application
11:16:09.139 [ApplicationImpl pooled thread 18] INFO  com.browserstack.sdk.utils.Helpers - null
11:26:08.569 [ApplicationImpl pooled thread 26] INFO  c.b.s.l.BrowserStackRunExtension - application
11:26:08.570 [ApplicationImpl pooled thread 26] INFO  com.browserstack.sdk.utils.Helpers - null
11:35:01.393 [ApplicationImpl pooled thread 34] INFO  c.b.s.l.BrowserStackRunExtension - application
11:35:01.394 [ApplicationImpl pooled thread 34] INFO  com.browserstack.sdk.utils.Helpers - null
11:35:27.949 [ApplicationImpl pooled thread 35] INFO  c.b.s.l.BrowserStackRunExtension - application
11:35:27.949 [ApplicationImpl pooled thread 35] INFO  com.browserstack.sdk.utils.Helpers - null
11:38:18.757 [ApplicationImpl pooled thread 35] INFO  c.b.s.l.BrowserStackRunExtension - application
11:38:18.757 [ApplicationImpl pooled thread 35] INFO  com.browserstack.sdk.utils.Helpers - null
11:38:38.697 [ApplicationImpl pooled thread 33] INFO  c.b.s.l.BrowserStackRunExtension - application
11:38:38.698 [ApplicationImpl pooled thread 33] INFO  com.browserstack.sdk.utils.Helpers - null
11:38:55.818 [ApplicationImpl pooled thread 39] INFO  c.b.s.l.BrowserStackRunExtension - application
11:38:55.819 [ApplicationImpl pooled thread 39] INFO  com.browserstack.sdk.utils.Helpers - null
11:41:15.673 [ApplicationImpl pooled thread 38] INFO  c.b.s.l.BrowserStackRunExtension - application
11:41:15.674 [ApplicationImpl pooled thread 38] INFO  com.browserstack.sdk.utils.Helpers - null
11:41:36.416 [ApplicationImpl pooled thread 41] INFO  c.b.s.l.BrowserStackRunExtension - application
11:41:36.416 [ApplicationImpl pooled thread 41] INFO  com.browserstack.sdk.utils.Helpers - null
11:42:30.461 [ApplicationImpl pooled thread 41] INFO  c.b.s.l.BrowserStackRunExtension - application
11:42:30.461 [ApplicationImpl pooled thread 41] INFO  com.browserstack.sdk.utils.Helpers - null
11:45:13.753 [ApplicationImpl pooled thread 44] INFO  c.b.s.l.BrowserStackRunExtension - application
11:45:13.753 [ApplicationImpl pooled thread 44] INFO  com.browserstack.sdk.utils.Helpers - null
11:45:21.712 [ApplicationImpl pooled thread 40] INFO  c.b.s.l.BrowserStackRunExtension - application
11:45:21.712 [ApplicationImpl pooled thread 40] INFO  com.browserstack.sdk.utils.Helpers - null
11:45:33.912 [ApplicationImpl pooled thread 44] INFO  c.b.s.l.BrowserStackRunExtension - application
11:45:33.912 [ApplicationImpl pooled thread 44] INFO  com.browserstack.sdk.utils.Helpers - null
11:48:39.071 [ApplicationImpl pooled thread 39] INFO  c.b.s.l.BrowserStackRunExtension - application
11:48:39.071 [ApplicationImpl pooled thread 39] INFO  com.browserstack.sdk.utils.Helpers - null
